iter	RMSE
0	12450953.13
1	12300078.5
2	12149758.92
3	12008464.83
4	11877398.64
5	11749794.38
6	11643327.35
7	11537307.38
8	11439509.65
9	11350541.93
10	11270599.72
11	11184059.12
12	11106160.16
13	11036665.07
14	10970917.02
15	10912662.12
16	10860681.92
17	10802729.15
18	10744970.02
19	10690824.51
20	10641733.14
21	10585852.01
22	10546455.63
23	10506623.31
24	10468306.06
25	10429865.57
26	10393938.82
27	10352685.56
28	10318697.69
29	10293221.99
30	10269645.33
31	10242479.91
32	10207848.52
33	10192214.45
34	10169627.65
35	10147117.53
36	10126711.85
37	10097691.18
38	10078064.92
39	10061969.58
40	10044640.18
41	10027761.63
42	10008657.56
43	9985381.699
44	9970360.295
45	9963303.666
46	9951242.662
47	9943063.846
48	9927794.333
49	9914375.896
50	9899221.634
51	9880304.923
52	9870240.204
53	9856653.778
54	9843367.488
55	9824740.025
56	9811910.097
57	9803550.75
58	9792482.654
59	9777691.571
60	9772189.46
61	9762708.066
62	9753705.005
63	9750265.06
64	9740973.193
65	9732397.198
66	9727456.339
67	9717442.254
68	9708571.135
69	9691246.873
70	9678982.181
71	9673089.107
72	9661998.317
73	9659808.743
74	9654243.939
75	9645424.147
76	9635508.237
77	9623090.899
78	9615100.196
79	9611107.97
80	9597042.285
81	9592320.407
82	9587971.201
83	9584288.813
84	9581314.415
85	9579456.636
86	9573880.984
87	9567767.324
88	9556525.488
89	9541793.348
90	9538176.103
91	9525157.377
92	9522192.9
93	9511845.866
94	9493073.52
95	9485658.413
96	9478338.354
97	9470030.424
98	9465808.408
99	9459055.622
100	9453303.937
101	9449917.966
102	9444154.68
103	9434955.292
104	9428915.8
105	9427179.752
106	9425439.046
107	9417501.209
108	9404231.302
109	9402858.239
110	9401428.298
111	9395995.007
112	9395362.377
113	9392933.173
114	9390668.473
115	9383596.151
116	9379077.221
117	9358775.775
118	9356540.978
119	9345980.096
120	9341516.818
121	9339275.291
122	9337712.839
123	9329802.633
124	9324444.222
125	9321387.105
126	9310875.456
127	9303474.097
128	9289127.486
129	9280745.245
130	9276930.688
131	9275744.487
132	9274935.926
133	9273874.035
134	9271648.908
135	9268905.476
136	9265864.988
137	9261818.566
138	9252172.922
139	9247618.647
140	9242726.891
141	9240733.707
142	9234060.8
143	9229033.822
144	9227403.489
145	9222035.689
146	9216470.686
147	9215434.622
148	9214328.618
149	9210935.433
150	9209656.483
151	9205979.637
152	9203451.674
153	9202192.173
154	9200238.021
155	9191120.748
156	9187558.945
157	9172572.968
158	9167514.057
159	9162480.863
160	9157512.772
161	9148296.966
162	9138549.934
163	9136205.554
164	9134919.951
165	9125599.325
166	9117789.75
167	9110257.347
168	9099569.365
169	9085506.007
170	9080564.539
171	9075619.82
172	9071121.55
173	9061941.608
174	9060590.633
175	9051066.332
176	9049307.883
177	9041194.175
178	9031568.734
179	9025661.322
180	9023767.13
181	9022920.242
182	9021549.464
183	9018932.121
184	9013408.344
185	9011369.987
186	9006927.695
187	9003416.934
188	8986656.972
189	8985221.195
190	8980829.714
191	8976740.15
192	8968697.266
193	8966821.09
194	8963950.836
195	8960774.007
196	8947567.411
197	8936979.696
198	8935985.706
199	8934256.062
200	8926836.948
201	8925880.498
202	8924779.063
203	8910724.203
204	8908936.309
205	8904434.952
206	8896788.116
207	8895896.744
208	8892605.595
209	8890935.944
210	8884210.555
211	8869704.104
212	8868746.874
213	8865955.408
214	8854889.976
215	8851715.043
216	8844477.553
217	8842218.48
218	8841411.322
219	8838398.859
220	8837592.495
221	8835802.798
222	8833976.148
223	8828607.231
224	8826737.787
225	8826116.561
226	8814309.607
227	8813420.076
228	8808814.581
229	8807473.227
230	8796441.636
231	8795511.034
232	8792198.899
233	8788893.102
234	8786922.883
235	8784479.059
236	8783065.826
237	8779602.391
238	8777238.753
239	8775806.438
240	8773825.323
241	8771861.555
242	8770277.679
243	8768901.392
244	8766914.316
245	8756907.299
246	8754808.19
247	8753740.814
248	8752337.279
249	8740300.792
250	8729178.497
251	8718052.988
252	8716958.724
253	8707822.893
254	8704741.837
255	8696718.272
256	8692594.021
257	8691911.368
258	8682338.365
259	8675420.531
260	8674341.393
261	8670571.516
262	8664291.567
263	8663359.143
264	8658799.067
265	8658477.272
266	8656040.796
267	8650150.691
268	8648445.348
269	8646297.875
270	8643890.941
271	8635175.209
272	8634708.326
273	8633770.489
274	8632780.848
275	8632059.693
276	8631643.197
277	8629986.858
278	8627289.608
279	8626438.656
280	8619568.616
281	8615878.548
282	8611760.713
283	8606330.939
284	8598033.35
285	8589489.269
286	8586424.416
287	8585382.158
288	8576503.18
289	8576022.394
290	8568875.305
291	8566138.193
292	8565727.148
293	8564460.312
294	8559167.52
