iter	Passed	Remaining
0	8	6408
1	16	6586
2	21	5794
3	26	5189
4	29	4730
5	32	4333
6	35	4050
7	38	3799
8	40	3602
9	43	3430
10	45	3279
11	47	3148
12	49	3020
13	51	2901
14	53	2801
15	55	2716
16	57	2645
17	59	2578
18	61	2519
19	63	2467
20	65	2422
21	67	2376
22	69	2333
23	70	2295
24	73	2263
25	74	2230
26	76	2198
27	78	2168
28	80	2140
29	82	2118
30	84	2094
31	86	2074
32	88	2055
33	90	2034
34	92	2020
35	94	2002
36	96	1986
37	98	1969
38	100	1953
39	102	1938
40	103	1924
41	105	1909
42	108	1902
43	110	1895
44	112	1883
45	114	1869
46	115	1858
47	117	1846
48	119	1833
49	121	1822
50	123	1811
51	125	1800
52	127	1791
53	128	1781
54	130	1772
55	132	1762
56	134	1754
57	136	1746
58	138	1737
59	140	1729
60	142	1720
61	143	1713
62	145	1705
63	147	1696
64	149	1691
65	151	1685
66	153	1678
67	155	1670
68	157	1663
69	158	1656
70	160	1649
71	162	1644
72	164	1638
73	166	1631
74	168	1624
75	170	1619
76	171	1613
77	173	1607
78	175	1602
79	177	1596
80	179	1595
81	182	1595
82	184	1592
83	186	1589
84	188	1586
85	190	1584
86	193	1582
87	195	1579
88	197	1576
89	199	1573
90	201	1569
91	205	1579
92	209	1591
93	211	1591
94	214	1592
95	217	1593
96	219	1593
97	222	1593
98	224	1590
99	226	1587
100	229	1584
101	231	1582
102	233	1581
103	236	1580
104	238	1579
105	240	1576
106	243	1574
107	245	1573
108	248	1572
109	250	1571
110	253	1571
111	255	1569
112	257	1562
113	259	1559
114	261	1555
115	263	1551
116	265	1548
117	267	1546
118	269	1542
119	271	1539
120	273	1536
121	275	1533
122	277	1529
123	279	1525
124	282	1523
125	284	1520
126	286	1517
127	288	1514
128	290	1512
129	292	1509
130	295	1506
131	296	1502
132	298	1495
133	300	1492
134	302	1489
135	304	1487
136	307	1485
137	309	1482
138	311	1479
139	313	1475
140	315	1472
141	317	1469
142	319	1465
143	320	1462
144	322	1457
145	324	1454
146	326	1451
147	328	1447
148	330	1444
149	332	1441
150	335	1440
151	337	1438
152	339	1435
153	341	1432
154	343	1429
155	346	1428
156	348	1428
157	351	1428
158	354	1427
159	356	1425
160	358	1423
161	360	1421
162	363	1418
163	365	1416
164	367	1413
165	369	1411
166	371	1409
167	374	1408
168	376	1405
169	378	1402
170	380	1400
171	383	1399
172	385	1396
173	387	1394
174	389	1391
175	391	1388
176	393	1385
177	395	1383
178	397	1380
179	399	1377
180	401	1373
181	403	1369
182	405	1366
183	407	1363
184	409	1360
185	411	1357
186	412	1353
187	414	1350
188	416	1347
189	418	1344
190	420	1340
191	422	1337
192	424	1335
193	426	1331
194	428	1328
195	430	1325
196	432	1322
197	433	1319
198	435	1315
199	437	1312
200	439	1310
201	441	1306
202	443	1303
203	445	1300
204	447	1297
205	449	1294
206	450	1291
207	452	1288
208	454	1285
209	456	1282
210	458	1279
211	460	1276
212	462	1273
213	464	1270
214	466	1268
215	468	1265
216	469	1262
217	471	1259
218	473	1256
219	475	1253
220	477	1250
221	479	1247
222	480	1244
223	482	1241
224	484	1238
225	486	1235
226	488	1232
227	490	1229
228	492	1226
229	493	1224
230	495	1221
231	497	1218
232	499	1216
233	501	1213
234	503	1211
235	505	1208
236	507	1205
237	509	1202
238	511	1200
239	513	1199
240	516	1196
241	518	1195
242	520	1192
243	522	1190
244	524	1188
245	526	1186
246	529	1184
247	531	1183
248	534	1181
249	536	1179
250	538	1177
251	540	1175
252	542	1172
253	544	1170
254	546	1168
255	549	1166
256	551	1164
257	553	1162
258	555	1160
259	557	1157
260	559	1155
261	561	1153
262	564	1151
263	566	1149
264	568	1147
265	570	1145
266	572	1143
267	575	1142
268	577	1139
269	579	1137
270	581	1135
271	583	1133
272	585	1130
273	587	1128
274	589	1126
275	591	1123
276	593	1120
277	595	1118
278	597	1115
279	599	1113
280	601	1111
281	603	1108
282	605	1106
283	607	1104
284	609	1101
285	611	1098
286	613	1096
287	615	1093
288	617	1091
289	619	1089
290	621	1087
291	624	1086
292	626	1084
293	628	1082
294	631	1080
